dis,sNumber,sTag,servArea,totInc,emInc,numStand,perMet,90Avg,q,rank,rankQ4,dif
CENTRAL,11,agr,CENTRAL,331,317,296,93.06,7.13,1,1,1,-0.57
EASTERN,11,agr,EASTERN,129,114,106,92.18,7.65,1,2,2,-0.05
NORTH & WEST REGIONAL,6,agr,NORTH & WEST REGIONAL,113,106,96,90.82,7.5,1,3,4,-0.2
SOUTH & EAST REGIONAL,6,agr,SOUTH & EAST REGIONAL,92,88,78,89.92,7.67,1,4,5,-0.03
SOUTHERN D1,9,agr,SOUTHERN D1,186,172,151,88.51,7.84,1,5,3,0.14
NORTHERN,11,agr,NORTHERN,161,147,131,88.17,8.12,1,6,7,0.42
WESTERN D3,5,agr,WESTERN D3,131,125,108,84.6,8.14,1,7,6,0.44
SOUTHERN D2,8,agr,SOUTHERN D2,177,167,135,81.09,8.72,1,8,8,1.02
WESTERN D1,9,agr,WESTERN D1,124,117,93,79.57,8.78,1,9,10,1.08
WESTERN D2,10,agr,WESTERN D2,130,122,97,78.99,9.06,1,10,9,1.36
CENTRAL,11,agr,CENTRAL,293,265,246,91.77,7.28,2,1,1,-0.42
EASTERN,11,agr,EASTERN,122,98,89,89.69,7.65,2,2,2,-0.05
SOUTH & EAST REGIONAL,6,agr,SOUTH & EAST REGIONAL,93,88,76,87.35,7.95,2,3,5,0.25
SOUTHERN D1,9,agr,SOUTHERN D1,176,145,125,86.99,8.03,2,4,3,0.33
NORTH & WEST REGIONAL,6,agr,NORTH & WEST REGIONAL,95,88,77,86.73,7.98,2,5,4,0.28
NORTHERN,11,agr,NORTHERN,145,122,106,86.59,8.19,2,6,7,0.49
SOUTHERN D2,8,agr,SOUTHERN D2,153,128,109,84.96,8.44,2,7,8,0.74
WESTERN D3,5,agr,WESTERN D3,118,103,88,82.64,8.18,2,8,6,0.48
WESTERN D1,9,agr,WESTERN D1,115,98,78,79.82,8.68,2,9,10,0.98
WESTERN D2,10,agr,WESTERN D2,128,105,82,78.11,8.88,2,10,9,1.18
NORTH & WEST REGIONAL,6,agr,NORTH & WEST REGIONAL,85,78,72,93.25,7.3,3,1,4,-0.4
CENTRAL,11,agr,CENTRAL,271,247,232,92.96,6.99,3,2,1,-0.71
NORTHERN,11,agr,NORTHERN,128,107,95,89.37,7.97,3,3,7,0.27
SOUTH & EAST REGIONAL,6,agr,SOUTH & EAST REGIONAL,83,76,67,88.55,7.77,3,4,5,0.07
SOUTHERN D1,9,agr,SOUTHERN D1,153,128,112,88.06,7.96,3,5,3,0.26
EASTERN,11,agr,EASTERN,104,89,79,86.81,8.01,3,6,2,0.31
SOUTHERN D2,8,agr,SOUTHERN D2,140,113,97,86.01,8.28,3,7,8,0.58
WESTERN D1,8,agr,WESTERN D1,116,97,81,82.65,8.45,3,8,10,0.75
WESTERN D3,5,agr,WESTERN D3,105,90,77,82.26,7.91,3,9,6,0.21
WESTERN D2,10,agr,WESTERN D2,120,100,81,80.69,8.89,3,10,9,1.19
CENTRAL,11,agr,CENTRAL,316,284,260,90.7,7.39,4,1,1,-0.31
EASTERN,11,agr,EASTERN,134,104,94,89.46,7.7,4,2,2,0
SOUTHERN D1,9,agr,SOUTHERN D1,192,156,134,86.89,8.02,4,3,3,0.32
NORTH & WEST REGIONAL,6,agr,NORTH & WEST REGIONAL,106,93,79,86.47,7.98,4,4,4,0.28
SOUTH & EAST REGIONAL,6,agr,SOUTH & EAST REGIONAL,93,84,73,86.43,8.09,4,5,5,0.39
WESTERN D3,5,agr,WESTERN D3,121,100,86,86.38,7.83,4,6,6,0.13
NORTHERN,11,agr,NORTHERN,165,132,113,86.18,8.19,4,7,7,0.49
SOUTHERN D2,8,agr,SOUTHERN D2,171,138,117,85.21,8.63,4,8,8,0.93
WESTERN D2,10,agr,WESTERN D2,145,117,93,79.46,9,4,9,9,1.3
WESTERN D1,8,agr,WESTERN D1,152,125,97,77.96,9.05,4,10,10,1.35
CENTRAL,1,FS1,Eastern Hill,360,346,339,98,5.7,1,1,2,-2
SOUTH & EAST REGIONAL,78,FS78,Morwell,52,51,50,98,6.7,1,2,15,-1
EASTERN,85,FS85,Boronia,112,97,95,97.9,7,1,3,28,-0.7
CENTRAL,3,FS3,Carlton,341,340,328,96.5,6.4,1,4,3,-1.3
NORTHERN,12,FS12,Preston,224,200,193,96.5,7.3,1,5,12,-0.4
