dis,sNumber,sTag,servArea,totInc,emInc,numStand,perMet,90Avg,q,rank
WESTERN D3,66,FS66,Ocean Grove,24,23,23,100,5.87,3,1
NORTH & WEST REGIONAL,67,FS67,Ballarat City,82,74,74,100,5.48,3,2
NORTH & WEST REGIONAL,68,FS68,Lucas,48,44,44,100,6.83,3,3
CENTRAL,1,FS1,Eastern Hill,374,359,350,97.5,5.5,3,4
CENTRAL,3,FS3,Carlton,349,330,319,96.7,6.27,3,5
WESTERN D3,64,FS64,Belmont,114,90,87,96.7,7.05,3,6
CENTRAL,38,FS38,South Melbourne,366,349,337,96.6,6.48,3,7
CENTRAL,10,FS10,Richmond,263,249,238,95.6,6.7,3,8
NORTHERN,16,FS16,Greensborough,83,68,65,95.6,7.55,3,9
SOUTH & EAST REGIONAL,77,FS77,Traralgon,71,66,63,95.5,7.28,3,10
NORTH & WEST REGIONAL,71,FS71,Portland,25,21,20,95.2,7.05,3,11
WESTERN D1,47,FS47,Footscray,211,181,172,95,7,3,12
SOUTHERN D1,86,FS86,Rowville,53,39,37,94.9,6.7,3,13
EASTERN,28,FS28,Vermont South,96,76,72,94.7,7.05,3,14
CENTRAL,39,FS39,Port Melbourne,122,113,107,94.7,7.13,3,15
EASTERN,23,FS23,Burwood,140,120,113,94.2,7.08,3,16
NORTHERN,81,FS81,South Morang,57,51,48,94.1,7.67,3,17
WESTERN D2,44,FS44,Sunshine,214,179,168,93.9,7.5,3,18
CENTRAL,2,FS2,West Melbourne,309,280,262,93.6,6.57,3,19
NORTHERN,12,FS12,Preston,158,139,130,93.5,7.23,3,20
SOUTH & EAST REGIONAL,78,FS78,Morwell,84,75,70,93.3,6.77,3,21
CENTRAL,4,FS4,Brunswick,203,176,164,93.2,7.32,3,22
EASTERN,26,FS26,Croydon,138,114,106,93,7.13,3,23
SOUTH & EAST REGIONAL,74,FS74,Wangaratta,78,69,64,92.8,7.52,3,24
CENTRAL,35,FS35,Windsor,459,407,375,92.1,7.23,3,25
WESTERN D3,63,FS63,Geelong City,165,147,135,91.8,7.6,3,26
SOUTHERN D1,31,FS31,Glen Waverley,225,204,187,91.7,7.67,3,27
NORTH & WEST REGIONAL,73,FS73,Bendigo,151,145,133,91.7,7.7,3,28
EASTERN,27,FS27,Nunawading,120,105,96,91.4,7.55,3,29
EASTERN,20,FS20,Box Hill,159,138,126,91.3,7.63,3,30
NORTHERN,14,FS14,Bundoora,130,110,100,90.9,7.8,3,31
EASTERN,22,FS22,Ringwood,118,107,97,90.7,7.97,3,32
SOUTHERN D1,25,FS25,Oakleigh,148,127,115,90.6,7.62,3,33
SOUTHERN D1,33,FS33,Mentone,126,96,87,90.6,8.08,3,34
NORTHERN,6,FS6,Pascoe Vale,127,100,90,90,8.4,3,35
SOUTHERN D2,94,FS94,Mornington,80,69,62,89.9,7.95,3,36
SOUTHERN D2,95,FS95,Rosebud,59,49,44,89.8,7.68,3,37
SOUTHERN D1,29,FS29,Clayton,136,116,104,89.7,7.88,3,38
WESTERN D1,42,FS42,Newport,80,76,68,89.5,7.72,3,39
NORTHERN,15,FS15,Heidelberg,199,174,155,89.1,7.98,3,40
WESTERN D2,53,FS53,Sunbury,75,63,56,88.9,8.15,3,41
WESTERN D2,43,FS43,Deer Park,114,96,85,88.5,8.03,3,42
CENTRAL,50,FS50,Ascot Vale,189,164,145,88.4,7.88,3,43
SOUTHERN D1,32,FS32,Ormond,203,168,148,88.1,7.83,3,44
WESTERN D2,48,FS48,Taylors Lakes,50,42,37,88.1,7.43,3,45
EASTERN,85,FS85,Boronia,75,59,52,88.1,7.92,3,46
SOUTHERN D2,91,FS91,Frankston,210,184,162,88,8.18,3,47
CENTRAL,18,FS18,Hawthorn,193,169,148,87.6,7.87,3,48
EASTERN,19,FS19,North Balwyn,123,103,90,87.4,8.28,3,49
WESTERN D2,41,FS41,St Albans,130,103,90,87.4,8.22,3,50
NORTH & WEST REGIONAL,72,FS72,Mildura,104,94,82,87.2,8.57,3,51
NORTHERN,9,FS9,Somerton,58,46,40,87,7.95,3,52
CENTRAL,13,FS13,Northcote,148,119,103,86.6,7.95,3,53
NORTHERN,7,FS7,Thomastown,122,104,90,86.5,8.02,3,54
SOUTHERN D2,87,FS87,Dandenong,261,211,182,86.3,8.48,3,55
NORTHERN,80,FS80,Craigieburn,130,93,80,86,8.32,3,56
NORTHERN,5,FS5,Broadmeadows,241,199,171,85.9,8.68,3,57
NORTH & WEST REGIONAL,70,FS70,Warrnambool,99,89,76,85.4,8.17,3,58
WESTERN D1,46,FS46,Altona,39,33,28,84.8,7.85,3,59
NORTHERN,11,FS11,Epping,94,84,71,84.5,8.08,3,60
SOUTH & EAST REGIONAL,79,FS79,Latrobe West,47,45,38,84.4,8.1,3,61
SOUTHERN D2,92,FS92,Cranbourne,173,127,107,84.3,8.48,3,62
SOUTHERN D2,90,FS90,Patterson River,83,69,58,84.1,8.32,3,63
WESTERN D3,62,FS62,Corio,174,141,118,83.7,8.32,3,64
SOUTHERN D1,24,FS24,Malvern,175,145,121,83.4,8.92,3,65
SOUTHERN D1,34,FS34,Highett,186,156,130,83.3,8.57,3,66
SOUTH & EAST REGIONAL,75,FS75,Shepparton,141,131,109,83.2,8.47,3,67
SOUTHERN D2,93,FS93,Pakenham,99,77,64,83.1,8.65,3,68
WESTERN D1,40,FS40,Laverton,74,64,53,82.8,8.98,3,69
SOUTHERN D2,88,FS88,Hallam,150,115,95,82.6,8.5,3,70
EASTERN,30,FS30,Templestowe,77,68,56,82.4,9.12,3,71
SOUTH & EAST REGIONAL,76,FS76,Wodonga,77,67,55,82.1,8.47,3,72
EASTERN,82,FS82,Eltham City,70,60,49,81.7,8.83,3,73
WESTERN D2,52,FS52,Tullamarine,103,85,69,81.2,8.48,3,74
WESTERN D2,51,FS51,Keilor,103,78,63,80.8,8.6,3,75
SOUTHERN D1,89,FS89,Springvale,123,96,77,80.2,8.4,3,76
WESTERN D1,58,FS58,Point Cook,116,96,76,79.2,9.37,3,77
WESTERN D1,57,FS57,Tarneit,196,154,120,77.9,9.05,3,78
WESTERN D1,45,FS45,Spotswood,124,97,74,76.3,8.9,3,79
WESTERN D1,59,FS59,Derrimut,84,74,56,75.7,8.73,3,80
WESTERN D2,56,FS56,Melton,196,164,117,71.3,10.13,3,81
WESTERN D2,55,FS55,Caroline Springs,167,146,99,67.8,9.57,3,82
EASTERN,84,FS84,South Warrandyte,21,20,12,60,9.57,3,83
WESTERN D2,54,FS54,Greenvale,48,39,23,59,12.83,3,84
WESTERN D3,61,FS61,Lara,46,46,18,39.1,10.73,3,85
