dis,sNumber,sTag,servArea,totInc,emInc,numStand,perMet,90Avg,q
CENTRAL,1,FS1,Eastern Hill,389,365,356,97.5,5.62,4
CENTRAL,2,FS2,West Melbourne,356,326,310,95.1,6.65,4
CENTRAL,3,FS3,Carlton,376,348,338,97.1,6.52,4
CENTRAL,4,FS4,Brunswick,258,232,213,91.8,7.57,4
NORTHERN,5,FS5,Broadmeadows,260,206,165,80.1,8.57,4
NORTHERN,6,FS6,Pascoe Vale,164,129,102,79.1,9.2,4
NORTHERN,7,FS7,Thomastown,160,115,100,87,8.07,4
NORTHERN,9,FS9,Somerton,85,71,65,91.5,7.65,4
CENTRAL,10,FS10,Richmond,311,280,258,92.1,7.27,4
NORTHERN,11,FS11,Epping,134,111,101,91,8,4
NORTHERN,12,FS12,Preston,221,183,170,92.9,7.67,4
CENTRAL,13,FS13,Northcote,182,141,116,82.3,8.58,4
NORTHERN,14,FS14,Bundoora,174,144,125,86.8,7.82,4
NORTHERN,15,FS15,Heidelberg,270,224,196,87.5,8.25,4
NORTHERN,16,FS16,Greensborough,111,82,73,89,7.62,4
CENTRAL,18,FS18,Hawthorn,236,191,165,86.4,8.13,4
EASTERN,19,FS19,North Balwyn,147,122,100,82,9.2,4
EASTERN,20,FS20,Box Hill,176,144,134,93.1,7.43,4
EASTERN,22,FS22,Ringwood,184,136,124,91.2,7.57,4
EASTERN,23,FS23,Burwood,166,127,121,95.3,7.3,4
SOUTHERN D1,24,FS24,Malvern,189,158,141,89.2,8.13,4
SOUTHERN D1,25,FS25,Oakleigh,193,161,145,90.1,7.75,4
EASTERN,26,FS26,Croydon,134,102,95,93.1,6.9,4
EASTERN,27,FS27,Nunawading,156,120,110,91.7,7.3,4
EASTERN,28,FS28,Vermont South,188,145,133,91.7,7.5,4
SOUTHERN D1,29,FS29,Clayton,133,108,102,94.4,7.43,4
EASTERN,30,FS30,Templestowe,92,73,64,87.7,7.73,4
SOUTHERN D1,31,FS31,Glen Waverley,281,244,207,84.8,8.38,4
SOUTHERN D1,32,FS32,Ormond,250,206,169,82,8.6,4
SOUTHERN D1,33,FS33,Mentone,166,126,111,88.1,7.9,4
SOUTHERN D1,34,FS34,Highett,235,185,149,80.5,8.37,4
CENTRAL,35,FS35,Windsor,526,472,417,88.3,7.95,4
CENTRAL,38,FS38,South Melbourne,426,391,363,92.8,6.87,4
CENTRAL,39,FS39,Port Melbourne,159,141,125,88.7,7.78,4
WESTERN D1,40,FS40,Laverton,92,71,56,78.9,8.87,4
WESTERN D2,41,FS41,St Albans,155,113,105,92.9,7.85,4
WESTERN D1,42,FS42,Newport,127,111,97,87.4,7.97,4
WESTERN D2,43,FS43,Deer Park,141,115,91,79.1,8.82,4
WESTERN D2,44,FS44,Sunshine,209,169,153,90.5,7.75,4
WESTERN D1,45,FS45,Spotswood,159,116,92,79.3,8.8,4
WESTERN D1,46,FS46,Altona,46,34,28,82.4,7.83,4
WESTERN D1,47,FS47,Footscray,260,222,196,88.3,8.2,4
WESTERN D2,48,FS48,Taylors Lakes,74,61,52,85.2,8.47,4
CENTRAL,50,FS50,Ascot Vale,255,229,196,85.6,8.4,4
WESTERN D2,51,FS51,Keilor,142,102,90,88.2,7.95,4
WESTERN D2,52,FS52,Tullamarine,123,103,75,72.8,9.48,4
WESTERN D2,53,FS53,Sunbury,92,77,59,76.6,9.18,4
WESTERN D2,54,FS54,Greenvale,65,54,37,68.5,10.97,4
WESTERN D2,55,FS55,Caroline Springs,195,158,103,65.2,9.98,4
WESTERN D2,56,FS56,Melton,246,209,158,75.6,9.5,4
WESTERN D1,57,FS57,Tarneit,259,209,140,67,10.97,4
WESTERN D1,58,FS58,Point Cook,147,127,96,75.6,10.47,4
WESTERN D1,59,FS59,Derrimut,125,108,70,64.8,9.33,4
WESTERN D3,61,FS61,Lara,64,57,38,66.7,10.42,4
WESTERN D3,62,FS62,Corio,207,165,134,81.2,8.13,4
WESTERN D3,63,FS63,Geelong City,187,158,148,93.7,7.15,4
WESTERN D3,64,FS64,Belmont,114,93,84,90.3,7.6,4
WESTERN D3,66,FS66,Ocean Grove,32,26,26,100,5.85,4
NORTH & WEST REGIONAL,67,FS67,Ballarat City,100,88,85,96.6,6.52,4
