dis,sNumber,sTag,servArea,incType,numInc,numStand,perMet,90Avg,q,rank,rankQ4
CENTRAL,11,agr,CENTRAL,nonInc,14,296,93.06,7.13,1,1,1
CENTRAL,11,agr,CENTRAL,emInc,317,296,93.06,7.13,1,1,1
EASTERN,11,agr,EASTERN,nonInc,15,106,92.18,7.65,1,2,2
EASTERN,11,agr,EASTERN,emInc,114,106,92.18,7.65,1,2,2
NORTH & WEST REGIONAL,6,agr,NORTH & WEST REGIONAL,nonInc,7,96,90.82,7.5,1,3,4
NORTH & WEST REGIONAL,6,agr,NORTH & WEST REGIONAL,emInc,106,96,90.82,7.5,1,3,4
SOUTH & EAST REGIONAL,6,agr,SOUTH & EAST REGIONAL,nonInc,4,78,89.92,7.67,1,4,5
SOUTH & EAST REGIONAL,6,agr,SOUTH & EAST REGIONAL,emInc,88,78,89.92,7.67,1,4,5
SOUTHERN D1,9,agr,SOUTHERN D1,nonInc,14,151,88.51,7.84,1,5,3
SOUTHERN D1,9,agr,SOUTHERN D1,emInc,172,151,88.51,7.84,1,5,3
NORTHERN,11,agr,NORTHERN,nonInc,14,131,88.17,8.12,1,6,7
NORTHERN,11,agr,NORTHERN,emInc,147,131,88.17,8.12,1,6,7
WESTERN D3,5,agr,WESTERN D3,nonInc,6,108,84.6,8.14,1,7,6
WESTERN D3,5,agr,WESTERN D3,emInc,125,108,84.6,8.14,1,7,6
SOUTHERN D2,8,agr,SOUTHERN D2,nonInc,10,135,81.09,8.72,1,8,8
SOUTHERN D2,8,agr,SOUTHERN D2,emInc,167,135,81.09,8.72,1,8,8
WESTERN D1,9,agr,WESTERN D1,nonInc,7,93,79.57,8.78,1,9,10
WESTERN D1,9,agr,WESTERN D1,emInc,117,93,79.57,8.78,1,9,10
WESTERN D2,10,agr,WESTERN D2,nonInc,8,97,78.99,9.06,1,10,9
WESTERN D2,10,agr,WESTERN D2,emInc,122,97,78.99,9.06,1,10,9
CENTRAL,11,agr,CENTRAL,nonInc,28,246,91.77,7.28,2,1,1
CENTRAL,11,agr,CENTRAL,emInc,265,246,91.77,7.28,2,1,1
EASTERN,11,agr,EASTERN,nonInc,24,89,89.69,7.65,2,2,2
EASTERN,11,agr,EASTERN,emInc,98,89,89.69,7.65,2,2,2
SOUTH & EAST REGIONAL,6,agr,SOUTH & EAST REGIONAL,nonInc,5,76,87.35,7.95,2,3,5
