description,dis,sNumber,sTag,servArea,incType,numInc,numStand,perMet,90Avg,q,rank,rankQ4
Non-Emergency Incident,CENTRAL,11,agr,CENTRAL,nonInc,14,296,93.06,7.13,1,1,1
Emergency Incident,CENTRAL,11,agr,CENTRAL,emInc,317,296,93.06,7.13,1,1,1
Incident Total,CENTRAL,11,agr,CENTRAL,totInc,331,296,93.06,7.13,1,1,1
Non-Emergency Incident,EASTERN,11,agr,EASTERN,nonInc,15,106,92.18,7.65,1,2,2
Emergency Incident,EASTERN,11,agr,EASTERN,emInc,114,106,92.18,7.65,1,2,2
Incident Total,EASTERN,11,agr,EASTERN,totInc,129,106,92.18,7.65,1,2,2
Non-Emergency Incident,NORTH & WEST REGIONAL,6,agr,NORTH & WEST REGIONAL,nonInc,7,96,90.82,7.5,1,3,4
Emergency Incident,NORTH & WEST REGIONAL,6,agr,NORTH & WEST REGIONAL,emInc,106,96,90.82,7.5,1,3,4
Incident Total,NORTH & WEST REGIONAL,6,agr,NORTH & WEST REGIONAL,totInc,113,96,90.82,7.5,1,3,4
Non-Emergency Incident,SOUTH & EAST REGIONAL,6,agr,SOUTH & EAST REGIONAL,nonInc,4,78,89.92,7.67,1,4,5
Emergency Incident,SOUTH & EAST REGIONAL,6,agr,SOUTH & EAST REGIONAL,emInc,88,78,89.92,7.67,1,4,5
Incident Total,SOUTH & EAST REGIONAL,6,agr,SOUTH & EAST REGIONAL,totInc,92,78,89.92,7.67,1,4,5
Non-Emergency Incident,SOUTHERN D1,9,agr,SOUTHERN D1,nonInc,14,151,88.51,7.84,1,5,3
Emergency Incident,SOUTHERN D1,9,agr,SOUTHERN D1,emInc,172,151,88.51,7.84,1,5,3
Incident Total,SOUTHERN D1,9,agr,SOUTHERN D1,totInc,186,151,88.51,7.84,1,5,3
Non-Emergency Incident,NORTHERN,11,agr,NORTHERN,nonInc,14,131,88.17,8.12,1,6,7
Emergency Incident,NORTHERN,11,agr,NORTHERN,emInc,147,131,88.17,8.12,1,6,7
Incident Total,NORTHERN,11,agr,NORTHERN,totInc,161,131,88.17,8.12,1,6,7
Non-Emergency Incident,WESTERN D3,5,agr,WESTERN D3,nonInc,6,108,84.6,8.14,1,7,6
Emergency Incident,WESTERN D3,5,agr,WESTERN D3,emInc,125,108,84.6,8.14,1,7,6
Incident Total,WESTERN D3,5,agr,WESTERN D3,totInc,131,108,84.6,8.14,1,7,6
Non-Emergency Incident,SOUTHERN D2,8,agr,SOUTHERN D2,nonInc,10,135,81.09,8.72,1,8,8
Emergency Incident,SOUTHERN D2,8,agr,SOUTHERN D2,emInc,167,135,81.09,8.72,1,8,8
Incident Total,SOUTHERN D2,8,agr,SOUTHERN D2,totInc,177,135,81.09,8.72,1,8,8
Non-Emergency Incident,WESTERN D1,9,agr,WESTERN D1,nonInc,7,93,79.57,8.78,1,9,10
Emergency Incident,WESTERN D1,9,agr,WESTERN D1,emInc,117,93,79.57,8.78,1,9,10
Incident Total,WESTERN D1,9,agr,WESTERN D1,totInc,124,93,79.57,8.78,1,9,10
Non-Emergency Incident,WESTERN D2,10,agr,WESTERN D2,nonInc,8,97,78.99,9.06,1,10,9
Emergency Incident,WESTERN D2,10,agr,WESTERN D2,emInc,122,97,78.99,9.06,1,10,9
Incident Total,WESTERN D2,10,agr,WESTERN D2,totInc,130,97,78.99,9.06,1,10,9
Non-Emergency Incident,CENTRAL,11,agr,CENTRAL,nonInc,28,246,91.77,7.28,2,1,1
Emergency Incident,CENTRAL,11,agr,CENTRAL,emInc,265,246,91.77,7.28,2,1,1
Incident Total,CENTRAL,11,agr,CENTRAL,totInc,293,246,91.77,7.28,2,1,1
Non-Emergency Incident,EASTERN,11,agr,EASTERN,nonInc,24,89,89.69,7.65,2,2,2
Emergency Incident,EASTERN,11,agr,EASTERN,emInc,98,89,89.69,7.65,2,2,2
Incident Total,EASTERN,11,agr,EASTERN,totInc,122,89,89.69,7.65,2,2,2
Non-Emergency Incident,SOUTH & EAST REGIONAL,6,agr,SOUTH & EAST REGIONAL,nonInc,5,76,87.35,7.95,2,3,5
Emergency Incident,SOUTH & EAST REGIONAL,6,agr,SOUTH & EAST REGIONAL,emInc,88,76,87.35,7.95,2,3,5
Incident Total,SOUTH & EAST REGIONAL,6,agr,SOUTH & EAST REGIONAL,totInc,93,76,87.35,7.95,2,3,5
Non-Emergency Incident,SOUTHERN D1,9,agr,SOUTHERN D1,nonInc,31,125,86.99,8.03,2,4,3
Emergency Incident,SOUTHERN D1,9,agr,SOUTHERN D1,emInc,145,125,86.99,8.03,2,4,3
Incident Total,SOUTHERN D1,9,agr,SOUTHERN D1,totInc,176,125,86.99,8.03,2,4,3
Non-Emergency Incident,NORTH & WEST REGIONAL,6,agr,NORTH & WEST REGIONAL,nonInc,7,77,86.73,7.98,2,5,4
Emergency Incident,NORTH & WEST REGIONAL,6,agr,NORTH & WEST REGIONAL,emInc,88,77,86.73,7.98,2,5,4
Incident Total,NORTH & WEST REGIONAL,6,agr,NORTH & WEST REGIONAL,totInc,95,77,86.73,7.98,2,5,4
Non-Emergency Incident,NORTHERN,11,agr,NORTHERN,nonInc,23,106,86.59,8.19,2,6,7
Emergency Incident,NORTHERN,11,agr,NORTHERN,emInc,122,106,86.59,8.19,2,6,7
Incident Total,NORTHERN,11,agr,NORTHERN,totInc,145,106,86.59,8.19,2,6,7
Non-Emergency Incident,SOUTHERN D2,8,agr,SOUTHERN D2,nonInc,25,109,84.96,8.44,2,7,8
Emergency Incident,SOUTHERN D2,8,agr,SOUTHERN D2,emInc,128,109,84.96,8.44,2,7,8
Incident Total,SOUTHERN D2,8,agr,SOUTHERN D2,totInc,153,109,84.96,8.44,2,7,8
Non-Emergency Incident,WESTERN D3,5,agr,WESTERN D3,nonInc,15,88,82.64,8.18,2,8,6
Emergency Incident,WESTERN D3,5,agr,WESTERN D3,emInc,103,88,82.64,8.18,2,8,6
Incident Total,WESTERN D3,5,agr,WESTERN D3,totInc,118,88,82.64,8.18,2,8,6
Non-Emergency Incident,WESTERN D1,9,agr,WESTERN D1,nonInc,17,78,79.82,8.68,2,9,10
Emergency Incident,WESTERN D1,9,agr,WESTERN D1,emInc,98,78,79.82,8.68,2,9,10
Incident Total,WESTERN D1,9,agr,WESTERN D1,totInc,115,78,79.82,8.68,2,9,10
Non-Emergency Incident,WESTERN D2,10,agr,WESTERN D2,nonInc,23,82,78.11,8.88,2,10,9
Emergency Incident,WESTERN D2,10,agr,WESTERN D2,emInc,105,82,78.11,8.88,2,10,9
Incident Total,WESTERN D2,10,agr,WESTERN D2,totInc,128,82,78.11,8.88,2,10,9
Non-Emergency Incident,NORTH & WEST REGIONAL,6,agr,NORTH & WEST REGIONAL,nonInc,7,72,93.25,7.3,3,1,4
Emergency Incident,NORTH & WEST REGIONAL,6,agr,NORTH & WEST REGIONAL,emInc,78,72,93.25,7.3,3,1,4
Incident Total,NORTH & WEST REGIONAL,6,agr,NORTH & WEST REGIONAL,totInc,85,72,93.25,7.3,3,1,4
Non-Emergency Incident,CENTRAL,11,agr,CENTRAL,nonInc,24,232,92.96,6.99,3,2,1
Emergency Incident,CENTRAL,11,agr,CENTRAL,emInc,247,232,92.96,6.99,3,2,1
Incident Total,CENTRAL,11,agr,CENTRAL,totInc,271,232,92.96,6.99,3,2,1
Non-Emergency Incident,NORTHERN,11,agr,NORTHERN,nonInc,21,95,89.37,7.97,3,3,7
Emergency Incident,NORTHERN,11,agr,NORTHERN,emInc,107,95,89.37,7.97,3,3,7
Incident Total,NORTHERN,11,agr,NORTHERN,totInc,128,95,89.37,7.97,3,3,7
Non-Emergency Incident,SOUTH & EAST REGIONAL,6,agr,SOUTH & EAST REGIONAL,nonInc,7,67,88.55,7.77,3,4,5
Emergency Incident,SOUTH & EAST REGIONAL,6,agr,SOUTH & EAST REGIONAL,emInc,76,67,88.55,7.77,3,4,5
Incident Total,SOUTH & EAST REGIONAL,6,agr,SOUTH & EAST REGIONAL,totInc,83,67,88.55,7.77,3,4,5
Non-Emergency Incident,SOUTHERN D1,9,agr,SOUTHERN D1,nonInc,25,112,88.06,7.96,3,5,3
Emergency Incident,SOUTHERN D1,9,agr,SOUTHERN D1,emInc,128,112,88.06,7.96,3,5,3
Incident Total,SOUTHERN D1,9,agr,SOUTHERN D1,totInc,153,112,88.06,7.96,3,5,3
Non-Emergency Incident,EASTERN,11,agr,EASTERN,nonInc,15,79,86.81,8.01,3,6,2
Emergency Incident,EASTERN,11,agr,EASTERN,emInc,89,79,86.81,8.01,3,6,2
Incident Total,EASTERN,11,agr,EASTERN,totInc,104,79,86.81,8.01,3,6,2
Non-Emergency Incident,SOUTHERN D2,8,agr,SOUTHERN D2,nonInc,27,97,86.01,8.28,3,7,8
Emergency Incident,SOUTHERN D2,8,agr,SOUTHERN D2,emInc,113,97,86.01,8.28,3,7,8
Incident Total,SOUTHERN D2,8,agr,SOUTHERN D2,totInc,140,97,86.01,8.28,3,7,8
Non-Emergency Incident,WESTERN D1,8,agr,WESTERN D1,nonInc,19,81,82.65,8.45,3,8,10
Emergency Incident,WESTERN D1,8,agr,WESTERN D1,emInc,97,81,82.65,8.45,3,8,10
Incident Total,WESTERN D1,8,agr,WESTERN D1,totInc,116,81,82.65,8.45,3,8,10
Non-Emergency Incident,WESTERN D3,5,agr,WESTERN D3,nonInc,15,77,82.26,7.91,3,9,6
Emergency Incident,WESTERN D3,5,agr,WESTERN D3,emInc,90,77,82.26,7.91,3,9,6
Incident Total,WESTERN D3,5,agr,WESTERN D3,totInc,105,77,82.26,7.91,3,9,6
Non-Emergency Incident,WESTERN D2,10,agr,WESTERN D2,nonInc,20,81,80.69,8.89,3,10,9
Emergency Incident,WESTERN D2,10,agr,WESTERN D2,emInc,100,81,80.69,8.89,3,10,9
Incident Total,WESTERN D2,10,agr,WESTERN D2,totInc,120,81,80.69,8.89,3,10,9
Non-Emergency Incident,CENTRAL,11,agr,CENTRAL,nonInc,32,260,90.7,7.39,4,1,1
Emergency Incident,CENTRAL,11,agr,CENTRAL,emInc,284,260,90.7,7.39,4,1,1
Incident Total,CENTRAL,11,agr,CENTRAL,totInc,316,260,90.7,7.39,4,1,1
Non-Emergency Incident,EASTERN,11,agr,EASTERN,nonInc,30,94,89.46,7.7,4,2,2
Emergency Incident,EASTERN,11,agr,EASTERN,emInc,104,94,89.46,7.7,4,2,2
Incident Total,EASTERN,11,agr,EASTERN,totInc,134,94,89.46,7.7,4,2,2
Non-Emergency Incident,SOUTHERN D1,9,agr,SOUTHERN D1,nonInc,36,134,86.89,8.02,4,3,3
Emergency Incident,SOUTHERN D1,9,agr,SOUTHERN D1,emInc,156,134,86.89,8.02,4,3,3
Incident Total,SOUTHERN D1,9,agr,SOUTHERN D1,totInc,192,134,86.89,8.02,4,3,3
Non-Emergency Incident,NORTH & WEST REGIONAL,6,agr,NORTH & WEST REGIONAL,nonInc,13,79,86.47,7.98,4,4,4
Emergency Incident,NORTH & WEST REGIONAL,6,agr,NORTH & WEST REGIONAL,emInc,93,79,86.47,7.98,4,4,4
Incident Total,NORTH & WEST REGIONAL,6,agr,NORTH & WEST REGIONAL,totInc,106,79,86.47,7.98,4,4,4
Non-Emergency Incident,SOUTH & EAST REGIONAL,6,agr,SOUTH & EAST REGIONAL,nonInc,9,73,86.43,8.09,4,5,5
Emergency Incident,SOUTH & EAST REGIONAL,6,agr,SOUTH & EAST REGIONAL,emInc,84,73,86.43,8.09,4,5,5
Incident Total,SOUTH & EAST REGIONAL,6,agr,SOUTH & EAST REGIONAL,totInc,93,73,86.43,8.09,4,5,5
Non-Emergency Incident,WESTERN D3,5,agr,WESTERN D3,nonInc,21,86,86.38,7.83,4,6,6
Emergency Incident,WESTERN D3,5,agr,WESTERN D3,emInc,100,86,86.38,7.83,4,6,6
Incident Total,WESTERN D3,5,agr,WESTERN D3,totInc,121,86,86.38,7.83,4,6,6
Non-Emergency Incident,NORTHERN,11,agr,NORTHERN,nonInc,33,113,86.18,8.19,4,7,7
Emergency Incident,NORTHERN,11,agr,NORTHERN,emInc,132,113,86.18,8.19,4,7,7
Incident Total,NORTHERN,11,agr,NORTHERN,totInc,165,113,86.18,8.19,4,7,7
Non-Emergency Incident,SOUTHERN D2,8,agr,SOUTHERN D2,nonInc,33,117,85.21,8.63,4,8,8
Emergency Incident,SOUTHERN D2,8,agr,SOUTHERN D2,emInc,138,117,85.21,8.63,4,8,8
Incident Total,SOUTHERN D2,8,agr,SOUTHERN D2,totInc,171,117,85.21,8.63,4,8,8
Non-Emergency Incident,WESTERN D2,10,agr,WESTERN D2,nonInc,28,93,79.46,9,4,9,9
Emergency Incident,WESTERN D2,10,agr,WESTERN D2,emInc,117,93,79.46,9,4,9,9
Incident Total,WESTERN D2,10,agr,WESTERN D2,totInc,145,93,79.46,9,4,9,9
Non-Emergency Incident,WESTERN D1,8,agr,WESTERN D1,nonInc,27,97,77.96,9.05,4,10,10
Emergency Incident,WESTERN D1,8,agr,WESTERN D1,emInc,125,97,77.96,9.05,4,10,10
Incident Total,WESTERN D1,8,agr,WESTERN D1,totInc,152,97,77.96,9.05,4,10,10
Non-Emergency Incident,CENTRAL,1,FS1,Eastern Hill,nonInc,14,339,98,5.7,1,1,2
Emergency Incident,CENTRAL,1,FS1,Eastern Hill,emInc,346,339,98,5.7,1,1,2
Incident Total,CENTRAL,1,FS1,Eastern Hill,totInc,360,339,98,5.7,1,1,2
Non-Emergency Incident,SOUTH & EAST REGIONAL,78,FS78,Morwell,nonInc,1,50,98,6.7,1,2,15
Emergency Incident,SOUTH & EAST REGIONAL,78,FS78,Morwell,emInc,51,50,98,6.7,1,2,15
Incident Total,SOUTH & EAST REGIONAL,78,FS78,Morwell,totInc,52,50,98,6.7,1,2,15
Non-Emergency Incident,EASTERN,85,FS85,Boronia,nonInc,15,95,97.9,7,1,3,28
Emergency Incident,EASTERN,85,FS85,Boronia,emInc,97,95,97.9,7,1,3,28
Incident Total,EASTERN,85,FS85,Boronia,totInc,112,95,97.9,7,1,3,28
Non-Emergency Incident,CENTRAL,3,FS3,Carlton,nonInc,1,328,96.5,6.4,1,4,3
Emergency Incident,CENTRAL,3,FS3,Carlton,emInc,340,328,96.5,6.4,1,4,3
Incident Total,CENTRAL,3,FS3,Carlton,totInc,341,328,96.5,6.4,1,4,3
Non-Emergency Incident,NORTHERN,12,FS12,Preston,nonInc,24,193,96.5,7.3,1,5,12
Emergency Incident,NORTHERN,12,FS12,Preston,emInc,200,193,96.5,7.3,1,5,12
Incident Total,NORTHERN,12,FS12,Preston,totInc,224,193,96.5,7.3,1,5,12
Non-Emergency Incident,NORTH & WEST REGIONAL,67,FS67,Ballarat City,nonInc,5,120,96,6.2,1,6,4
Emergency Incident,NORTH & WEST REGIONAL,67,FS67,Ballarat City,emInc,125,120,96,6.2,1,6,4
Incident Total,NORTH & WEST REGIONAL,67,FS67,Ballarat City,totInc,130,120,96,6.2,1,6,4
Non-Emergency Incident,CENTRAL,4,FS4,Brunswick,nonInc,15,207,95.8,6.8,1,7,17
Emergency Incident,CENTRAL,4,FS4,Brunswick,emInc,216,207,95.8,6.8,1,7,17
Incident Total,CENTRAL,4,FS4,Brunswick,totInc,231,207,95.8,6.8,1,7,17
Non-Emergency Incident,CENTRAL,10,FS10,Richmond,nonInc,10,334,95.7,6.5,1,8,16
Emergency Incident,CENTRAL,10,FS10,Richmond,emInc,349,334,95.7,6.5,1,8,16
Incident Total,CENTRAL,10,FS10,Richmond,totInc,359,334,95.7,6.5,1,8,16
Non-Emergency Incident,EASTERN,28,FS28,Vermont South,nonInc,15,134,95.7,7.1,1,9,19
Emergency Incident,EASTERN,28,FS28,Vermont South,emInc,140,134,95.7,7.1,1,9,19
Incident Total,EASTERN,28,FS28,Vermont South,totInc,155,134,95.7,7.1,1,9,19
Non-Emergency Incident,SOUTHERN D1,86,FS86,Rowville,nonInc,1,65,95.6,6.7,1,10,21
Emergency Incident,SOUTHERN D1,86,FS86,Rowville,emInc,68,65,95.6,6.7,1,10,21
Incident Total,SOUTHERN D1,86,FS86,Rowville,totInc,69,65,95.6,6.7,1,10,21
Non-Emergency Incident,EASTERN,20,FS20,Box Hill,nonInc,27,168,95.5,7,1,11,10
Emergency Incident,EASTERN,20,FS20,Box Hill,emInc,176,168,95.5,7,1,11,10
Incident Total,EASTERN,20,FS20,Box Hill,totInc,203,168,95.5,7,1,11,10
Non-Emergency Incident,CENTRAL,38,FS38,South Melbourne,nonInc,13,432,95.2,6.6,1,12,14
Emergency Incident,CENTRAL,38,FS38,South Melbourne,emInc,454,432,95.2,6.6,1,12,14
Incident Total,CENTRAL,38,FS38,South Melbourne,totInc,467,432,95.2,6.6,1,12,14
Non-Emergency Incident,CENTRAL,2,FS2,West Melbourne,nonInc,6,343,95,6.8,1,13,7
Emergency Incident,CENTRAL,2,FS2,West Melbourne,emInc,361,343,95,6.8,1,13,7
Incident Total,CENTRAL,2,FS2,West Melbourne,totInc,367,343,95,6.8,1,13,7
Non-Emergency Incident,WESTERN D3,66,FS66,Ocean Grove,nonInc,1,19,95,6.1,1,14,1
Emergency Incident,WESTERN D3,66,FS66,Ocean Grove,emInc,20,19,95,6.1,1,14,1
Incident Total,WESTERN D3,66,FS66,Ocean Grove,totInc,21,19,95,6.1,1,14,1
Non-Emergency Incident,EASTERN,22,FS22,Ringwood,nonInc,11,131,94.9,7.2,1,15,22
Emergency Incident,EASTERN,22,FS22,Ringwood,emInc,138,131,94.9,7.2,1,15,22
Incident Total,EASTERN,22,FS22,Ringwood,totInc,149,131,94.9,7.2,1,15,22
Non-Emergency Incident,SOUTHERN D1,25,FS25,Oakleigh,nonInc,23,146,94.8,7.3,1,16,29
Emergency Incident,SOUTHERN D1,25,FS25,Oakleigh,emInc,154,146,94.8,7.3,1,16,29
Incident Total,SOUTHERN D1,25,FS25,Oakleigh,totInc,177,146,94.8,7.3,1,16,29
Non-Emergency Incident,SOUTHERN D2,94,FS94,Mornington,nonInc,8,72,94.7,7.3,1,17,25
Emergency Incident,SOUTHERN D2,94,FS94,Mornington,emInc,76,72,94.7,7.3,1,17,25
Incident Total,SOUTHERN D2,94,FS94,Mornington,totInc,84,72,94.7,7.3,1,17,25
Non-Emergency Incident,EASTERN,26,FS26,Croydon,nonInc,19,118,94.4,7.3,1,18,11
Emergency Incident,EASTERN,26,FS26,Croydon,emInc,125,118,94.4,7.3,1,18,11
Incident Total,EASTERN,26,FS26,Croydon,totInc,144,118,94.4,7.3,1,18,11
Non-Emergency Incident,WESTERN D2,44,FS44,Sunshine,nonInc,13,193,94.1,7.3,1,19,24
Emergency Incident,WESTERN D2,44,FS44,Sunshine,emInc,205,193,94.1,7.3,1,19,24
Incident Total,WESTERN D2,44,FS44,Sunshine,totInc,218,193,94.1,7.3,1,19,24
Non-Emergency Incident,WESTERN D1,42,FS42,Newport,nonInc,7,74,93.7,7.5,1,20,43
