stationNum,totalPumpers,totalAerial,totalSpec,totP,totA
1,3,1,4,0,8
2,2,0,0,0,2
3,1,0,1,0,2
4,1,0,0,0,1
5,1,0,0,0,1
6,1,0,0,0,1
7,1,1,2,0,4
9,2,0,0,0,2
10,2,1,11,9,5
11,1,0,0,0,1
12,1,0,0,0,1
13,1,0,0,0,1
14,2,0,0,0,2
15,1,0,0,0,1
16,1,0,0,0,1
18,1,0,0,0,1
19,1,0,0,0,1
20,1,0,0,0,1
22,1,1,0,0,2
23,1,0,1,1,1
24,1,0,0,0,1
25,1,2,2,0,5
26,2,0,0,0,2
27,1,0,2,0,3
28,1,0,0,0,1
29,1,0,0,0,1
30,2,0,0,0,2
31,2,0,0,0,2
32,1,0,0,0,1
33,1,0,0,0,1
34,2,0,0,0,2
35,2,1,0,0,3
38,2,0,4,1,5
39,2,0,5,1,6
40,1,0,0,0,1
41,1,0,0,0,1
42,2,0,0,0,2
43,1,0,0,0,1
44,1,1,5,2,5
45,1,0,0,0,1
46,1,0,0,0,1
47,1,1,4,3,3
48,1,0,0,0,1
50,1,0,0,0,1
51,2,0,0,0,2
52,1,0,0,0,1
53,1,0,0,0,1
54,1,0,0,0,1
55,1,0,0,0,1
56,1,0,1,0,2
57,1,0,0,0,1
58,1,0,0,0,1
59,2,0,0,0,2
61,1,0,1,0,2
62,2,0,1,1,2
63,2,1,2,0,5
64,1,0,0,0,1
66,1,0,0,0,1
67,2,1,2,1,4
68,1,0,1,0,2
70,1,1,2,0,4
71,1,0,0,0,1
72,1,1,1,0,3
73,2,1,1,1,3
74,1,0,1,0,2
75,1,1,1,0,3
76,2,0,0,0,2
77,1,1,0,0,2
78,1,1,0,0,2
79,1,0,0,0,1
80,1,0,0,0,1
81,1,0,0,0,1
82,1,0,0,0,1
84,1,0,0,0,1
85,1,0,0,0,1
86,1,0,0,0,1
87,2,1,2,0,5
88,1,0,1,0,2
89,1,0,0,0,1
90,1,0,0,0,1
91,2,0,0,0,2
92,1,0,0,0,1
93,1,0,0,0,1
94,1,0,0,0,1
95,1,0,0,0,1
