District,NumberStations,NumberIncidents,NumberStandards,avgPercentage,avgTime90
CENTRAL,11,3474,2857,90.69999999999999,7.3945454545454545
NORTHERN,11,1805,1243,86.18181818181817,8.18818181818182
EASTERN,11,1471,1034,89.46363636363638,7.702727272727272
SOUTHERN D1,9,1722,1205,86.88888888888889,8.022222222222222
WESTERN D1,8,1215,775,77.96249999999999,9.055
WESTERN D2,10,1442,923,79.46000000000001,8.995000000000001
WESTERN D3,5,604,430,86.38000000000001,7.830000000000001
NORTH & WEST REGIONAL,6,636,474,86.46666666666665,7.9816666666666665
SOUTH & EAST REGIONAL,6,557,433,86.43333333333334,8.088333333333333
SOUTHERN D2,8,1363,933,85.2125,8.63
